source_acct,tweet_date,tweet_text,vader_compound,vader_negative,vader_neutral,vader_positive
BBC,2018-07-23 13:02:00+00:00,"If you're blind or partially sighted, this might help.
 
At the BBC, we offer audio description to describe our sho… https://t.co/jDXcSK72uQ",0.0,0.111,0.779,0.111
BBC,2018-07-23 12:02:03+00:00,"Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k",0.6369,0.0,0.704,0.296
BBC,2018-07-23 11:37:06+00:00,RT @bbccomedy: The wonderful Victoria Wood talking sex. ❤️ https://t.co/uKdwA5f3T0,0.5719,0.0,0.73,0.27
BBC,2018-07-23 11:36:58+00:00,RT @bbccomedy: When it's not just work you're frustrated with... https://t.co/Qlv5gMgkGD,-0.5267,0.254,0.746,0.0
BBC,2018-07-23 11:03:09+00:00,When is a film so bad it's actually good? 🍿🤦‍♀️ https://t.co/zNWeEnZVQd https://t.co/F3rLExxpyR,-0.38,0.274,0.549,0.177
BBC,2018-07-23 08:12:20+00:00,"RT @bbcgetinspired: He came within minutes of losing his life in a horrific accident - but eight years on, he is about to represent Norther…",-0.6757,0.247,0.753,0.0
BBC,2018-07-23 08:03:02+00:00,"Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw",0.4767,0.0,0.886,0.114
BBC,2018-07-23 07:32:03+00:00,"The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961",-0.5267,0.134,0.866,0.0
BBC,2018-07-23 07:03:07+00:00,"✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf",0.0,0.0,1.0,0.0
BBC,2018-07-22 19:02:05+00:00,❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,0.5994,0.0,0.755,0.245
BBC,2018-07-22 18:05:05+00:00,"See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss",0.128,0.0,0.927,0.073
BBC,2018-07-22 18:02:04+00:00,"RT @bbcmusic: Happy Birthday @SelenaGomez! 🎂🎉

Which is your favourite SG single? (We are going old school Selena and vote 'Naturally' 💫) h…",0.6114,0.0,0.846,0.154
BBC,2018-07-22 17:06:28+00:00,RT @BBCCountryfile: What's your top tip for enjoying our countryside? Here's @EllieHarrison_ @AdamHenson @tomheapmedia and @SteveBrownGBWR…,0.6369,0.0,0.729,0.271
BBC,2018-07-22 16:45:18+00:00,RT @BBCNews: London Anniversary Games: Kare Adenegan &amp; Sophie Hahn set world records https://t.co/DW7CyMwS7r,0.0,0.0,1.0,0.0
BBC,2018-07-22 16:04:04+00:00,"❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5",-0.8402,0.276,0.724,0.0
BBC,2018-07-22 15:04:05+00:00,"Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG",-0.2732,0.091,0.909,0.0
BBC,2018-07-22 14:08:06+00:00,"😲🎨 Some of the most stunning photos from the 21st World Bodypainting Festival in Austria.
👉 https://t.co/2Z8On4ZuS3 https://t.co/YoAPvfk5cE",0.7264,0.0,0.757,0.243
BBC,2018-07-22 13:06:02+00:00,🐜🍞 Would you eat bread baked with insects instead of flour? https://t.co/zXYGP4MZjk,0.0,0.0,1.0,0.0
BBC,2018-07-22 12:09:04+00:00,"Positive reinforcement and indirect suggestions are a powerful way to influence our decision-making.

Here are eigh… https://t.co/CyoIKBRDfs",0.7506,0.0,0.686,0.314
